date,new_cases,new_deaths,new_tests
2020-04-21,2256.0,,28095.0
2020-04-22,2729.0,534.0,44248.0
2020-04-23,3370.0,437.0,37083.0
2020-04-24,2646.0,464.0,95273.0
2020-04-25,3021.0,420.0,
2020-04-26,2357.0,415.0,24113.0
2020-04-27,2324.0,260.0,26678.0
2020-04-28,1739.0,333.0,37554.0
2020-04-29,2089.6,389.2,36701.3
2020-04-30,2317.0,,38543.0
2020-05-01,2348.6,388.3,27727.6
2020-05-02,2383.0,,45155.0
2020-05-03,2228.3,371.1,43859.4
2020-05-04,,417.4,42435.5
2020-05-05,,390.8,32840.4
2020-05-06,2438.4,418.5,33501.9
2020-05-07,2581.6,400.9,42566.9
2020-05-08,,399.1,42137.9
2020-05-09,2484.0,380.0,46083.3
2020-05-10,2291.6,384.8,47715.3
2020-05-11,2814.9,421.1,51445.6
2020-05-12,2843.0,427.5,46896.7
2020-05-13,2281.3,376.6,50529.7
2020-05-14,2723.1,418.8,44607.7
2020-05-15,2298.5,397.6,47895.8
2020-05-16,2200.7,370.4,46337.3
2020-05-17,2537.1,384.9,44686.0
2020-05-18,2493.5,393.3,47894.1
2020-05-19,2522.6,388.6,47366.1
2020-05-20,2965.8,427.4,56191.2
2020-05-21,2919.2,437.4,54724.3
2020-05-22,3050.2,423.4,52857.0
2020-05-23,2812.8,397.3,55675.2
2020-05-24,2867.7,408.8,55019.5
2020-05-25,2831.7,402.1,54483.6
2020-05-26,2817.8,416.7,51564.8
2020-05-27,2972.5,404.7,52210.1
2020-05-28,3005.1,400.3,57388.1
2020-05-29,2985.4,420.2,56345.2
2020-05-30,2977.7,419.8,58277.6
2020-05-31,2949.7,411.3,53106.8
2020-06-01,2930.5,409.8,52726.6
2020-06-02,2903.8,418.6,56163.6
2020-06-03,2860.5,409.2,56828.1
2020-06-04,2772.3,401.7,51368.6
2020-06-05,2745.0,387.4,51957.5
2020-06-06,2708.2,398.9,50742.8
2020-06-07,2608.8,398.6,48821.1
2020-06-08,2524.3,382.4,46067.8
2020-06-09,2482.9,380.0,43265.4
2020-06-10,2420.8,375.2,46716.3
2020-06-11,2328.7,372.1,43831.0
2020-06-12,2294.5,373.9,42512.9
2020-06-13,2223.1,363.8,41305.2
2020-06-14,2136.2,357.9,39284.1
2020-06-15,2067.4,354.1,38863.0
2020-06-16,2040.1,351.0,38241.9
2020-06-17,2001.3,348.8,37620.8
2020-06-18,1980.5,346.5,37000.0
2020-06-19,1950.2,344.1,36380.1
2020-06-20,1920.8,342.0,35760.0
2020-06-21,1890.3,339.8,35140.2
2020-06-22,1860.1,337.5,34520.1
2020-06-23,1830.4,335.2,33900.0
2020-06-24,1800.2,333.0,33280.5
2020-06-25,1770.9,330.8,32660.2
2020-06-26,1740.1,328.5,32040.0
2020-06-27,1710.8,326.2,31420.1
2020-06-28,1680.2,324.0,30800.0
2020-06-29,1650.5,321.8,30180.3
2020-06-30,1620.1,319.5,29560.1
2020-07-01,1590.8,317.2,28940.0
2020-07-02,1560.2,315.0,28320.2
2020-07-03,1530.9,312.8,27700.0
2020-07-04,1500.1,310.5,27080.1
2020-07-05,1470.8,308.2,26460.0
2020-07-06,1440.2,306.0,25840.2
2020-07-07,1410.9,303.8,25220.0
2020-07-08,1380.1,301.5,24600.1
2020-07-09,1350.8,299.2,23980.0
2020-07-10,1320.2,297.0,23360.2
2020-07-11,1290.9,294.8,22740.0
2020-07-12,1260.1,292.5,22120.1
2020-07-13,1230.8,290.2,21500.0
2020-07-14,1200.2,288.0,20880.2
2020-07-15,1170.9,285.8,20260.0
2020-07-16,1140.1,283.5,19640.1
2020-07-17,1110.8,281.2,19020.0
2020-07-18,1080.2,279.0,18400.2
2020-07-19,1050.9,276.8,17780.0
2020-07-20,1020.1,274.5,17160.1
2020-07-21,990.8,272.2,16540.0
2020-07-22,960.2,270.0,15920.2
2020-07-23,930.9,267.8,15300.0
2020-07-24,900.1,265.5,15000.0
2020-07-25,870.8,263.2,15000.0
2020-07-26,840.2,261.0,15000.0
2020-07-27,810.9,258.8,15000.0
2020-07-28,780.1,256.5,15000.0
